"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation"
"A company collects data for temperature, humidity, and atmospheric pressure in cities across multiple continents. The average volume of data that the company collects from each site daily is 500 GB. Each site has a high-speed Internet connection. The company wants to aggregate the data from all these global sites as quickly as possible in a single Amazon S3 bucket. The solution must minimize operational complexity. Which solution meets these requirements?","Turn on S3 Transfer Acceleration on the destination S3 bucket. Use multipart uploads to directly upload site data to the destination S3 bucket.","Upload the data from each site to an S3 bucket in the closest Region. Use S3 Cross-Region Replication to copy objects to the destination S3 bucket. Then remove the data from the origin S3 bucket.","Schedule AWS Snowball Edge Storage Optimized device jobs daily to transfer data from each site to the closest Region. Use S3 Cross-Region Replication to copy objects to the destination S3 bucket.","Upload the data from each site to an Amazon EC2 instance in the closest Region. Store the data in an Amazon Elastic Block Store (Amazon EBS) volume. At regular intervals, take an EBS snapshot and copy it to the Region that contains the destination S3 bucket. Restore the EBS volume in that Region.","A","S3 Transfer Acceleration leverages globally distributed AWS edge locations to optimize long-distance uploads into S3 over AWS’s private backbone. It minimizes latency and requires no extra infrastructure or replication management. Multipart uploads ensure efficient handling of large 500GB daily data sets with high reliability, meeting the low operational overhead requirement."
"A company needs the ability to analyze the log files of its proprietary application. The logs are stored in JSON format in an Amazon S3 bucket. Queries will be simple and will run on-demand. A solutions architect needs to perform the analysis with minimal changes to the existing architecture. What should the solutions architect do to meet these requirements with the LEAST amount of operational overhead?","Use Amazon Redshift to load all the content into one place and run the SQL queries as needed.","Use Amazon CloudWatch Logs to store the logs. Run SQL queries as needed from the Amazon CloudWatch console.","Use Amazon Athena directly with Amazon S3 to run the queries as needed.","Use AWS Glue to catalog the logs. Use a transient Apache Spark cluster on Amazon EMR to run the SQL queries as needed.","C","Amazon Athena is serverless and allows you to query data directly in S3 using SQL without ETL or infrastructure. For JSON logs, you can define schemas and run on-demand queries without loading data into databases. This minimizes operational overhead compared to Redshift or EMR and integrates seamlessly with S3."
"A company uses AWS Organizations to manage multiple AWS accounts for different departments. The management account has an Amazon S3 bucket that contains project reports. The company wants to limit access to this S3 bucket to only users of accounts within the organization in AWS Organizations. Which solution meets these requirements with the LEAST amount of operational overhead?","Add the aws:PrincipalOrgID global condition key with a reference to the organization ID to the S3 bucket policy.","Create an organizational unit (OU) for each department. Add the aws:PrincipalOrgPaths global condition key to the S3 bucket policy.","Use AWS CloudTrail to monitor the CreateAccount, InviteAccountToOrganization, LeaveOrganization, and RemoveAccountFromOrganization events. Update the S3 bucket policy accordingly.","Tag each user that needs access to the S3 bucket. Add the aws:PrincipalTag global condition key to the S3 bucket policy.","A","The aws:PrincipalOrgID condition key restricts access to principals within a specific AWS Organization. It requires minimal maintenance because any new or removed accounts are automatically covered. This is simpler and more secure than tagging or manually updating policies based on CloudTrail events."
"An application runs on an Amazon EC2 instance in a VPC. The application processes logs that are stored in an Amazon S3 bucket. The EC2 instance needs to access the S3 bucket without connectivity to the internet. Which solution will provide private network connectivity to Amazon S3?","Create a gateway VPC endpoint to the S3 bucket.","Stream the logs to Amazon CloudWatch Logs. Export the logs to the S3 bucket.","Create an instance profile on Amazon EC2 to allow S3 access.","Create an Amazon API Gateway API with a private link to access the S3 endpoint.","A","A gateway VPC endpoint provides private connectivity from a VPC to S3 without using the public internet or NAT gateway. It integrates at the route table level and supports secure, scalable access, meeting the requirement for no internet connectivity."
"A company is hosting a web application on AWS using a single Amazon EC2 instance that stores user-uploaded documents in an Amazon EBS volume. For better scalability and availability, the company duplicated the architecture and created a second EC2 instance and EBS volume in another Availability Zone, placing both behind an Application Load Balancer. After completing this change, users reported that, each time they refreshed the website, they could see one subset of their documents or the other, but never all of the documents at the same time. What should a solutions architect propose to ensure users see all of their documents at once?","Copy the data so both EBS volumes contain all the documents","Configure the Application Load Balancer to direct a user to the server with the documents","Copy the data from both EBS volumes to Amazon EFS. Modify the application to save new documents to Amazon EFS","Configure the Application Load Balancer to send the request to both servers. Return each document from the correct server","C","Amazon EFS provides a shared, network-attached file system that can be mounted across multiple EC2 instances and AZs. Moving user documents to EFS ensures both instances have a consistent view of the same data, solving the problem caused by isolated EBS volumes."
"A company uses NFS to store large video files in on-premises network attached storage. Each video file ranges in size from 1 MB to 500 GB. The total storage is 70 TB and is no longer growing. The company decides to migrate the video files to Amazon S3. The company must migrate the video files as soon as possible while using the least possible network bandwidth. Which solution will meet these requirements?","Create an S3 bucket. Create an IAM role that has permissions to write to the S3 bucket. Use the AWS CLI to copy all files locally to the S3 bucket.","Create an AWS Snowball Edge job. Receive a Snowball Edge device on premises. Use the Snowball Edge client to transfer data to the device. Return the device so that AWS can import the data into Amazon S3.","Deploy an S3 File Gateway on premises. Create a public service endpoint to connect to the S3 File Gateway. Create an S3 bucket. Create a new NFS file share on the S3 File Gateway. Point the new file share to the S3 bucket. Transfer the data from the existing NFS file share to the S3 File Gateway.","Set up an AWS Direct Connect connection between the on-premises network and AWS. Deploy an S3 File Gateway on premises. Create a public virtual interface (VIF) to connect to the S3 File Gateway. Create an S3 bucket. Create a new NFS file share on the S3 File Gateway. Point the new file share to the S3 bucket. Transfer the data from the existing NFS file share to the S3 File Gateway.","B","AWS Snowball Edge provides petabyte-scale data transfer using physical devices, bypassing network constraints. For 70TB of video, it minimizes network usage and accelerates migration compared to online transfers or Direct Connect setup."
"A company has an application that ingests incoming messages. Dozens of other applications and microservices then quickly consume these messages. The number of messages varies drastically and sometimes increases suddenly to 100,000 each second. The company wants to decouple the solution and increase scalability. Which solution meets these requirements?","Persist the messages to Amazon Kinesis Data Analytics. Configure the consumer applications to read and process the messages.","Deploy the ingestion application on Amazon EC2 instances in an Auto Scaling group to scale the number of EC2 instances based on CPU metrics.","Write the messages to Amazon Kinesis Data Streams with a single shard. Use an AWS Lambda function to preprocess messages and store them in Amazon DynamoDB. Configure the consumer applications to read from DynamoDB to process the messages.","Publish the messages to an Amazon Simple Notification Service (Amazon SNS) topic with multiple Amazon Simple Queue Service (Amazon SQS) subscriptions. Configure the consumer applications to process the messages from the queues.","D","Using Amazon SNS with SQS fan-out decouples producers and consumers and handles sudden spikes by buffering messages in SQS. This design scales horizontally and ensures multiple services can consume messages independently without backpressure."
"A company is migrating a distributed application to AWS. The application serves variable workloads. The legacy platform consists of a primary server that coordinates jobs across multiple compute nodes. The company wants to modernize the application with a solution that maximizes resiliency and scalability. How should a solutions architect design the architecture to meet these requirements?","Configure an Amazon SQS queue as a destination for the jobs. Implement the compute nodes with Amazon EC2 instances that are managed in an Auto Scaling group. Configure EC2 Auto Scaling to use scheduled scaling.","Configure an Amazon SQS queue as a destination for the jobs. Implement the compute nodes with Amazon EC2 instances that are managed in an Auto Scaling group. Configure EC2 Auto Scaling based on the size of the queue.","Implement the primary server and the compute nodes with Amazon EC2 instances that are managed in an Auto Scaling group. Configure AWS CloudTrail as a destination for the jobs. Configure EC2 Auto Scaling based on the load on the primary server.","Implement the primary server and the compute nodes with Amazon EC2 instances that are managed in an Auto Scaling group. Configure Amazon EventBridge (Amazon CloudWatch Events) as a destination for the jobs. Configure EC2 Auto Scaling based on the load on the compute nodes.","B","Decoupling the primary job coordinator with SQS removes a single point of failure and allows jobs to queue until workers are available. Scaling EC2 instances based on queue depth aligns compute capacity with workload, improving resiliency and scalability compared to fixed scheduling."
"A company is running an SMB file server in its data center. The file server stores large files that are accessed frequently for the first few days after the files are created. After 7 days the files are rarely accessed. The total data size is increasing and is close to the company's total storage capacity. A solutions architect must increase the company's available storage space without losing low-latency access to the most recently accessed files. The solutions architect must also provide file lifecycle management to avoid future storage issues. Which solution will meet these requirements?","Use AWS DataSync to copy data that is older than 7 days from the SMB file server to AWS.","Create an Amazon S3 File Gateway to extend the company's storage space. Create an S3 Lifecycle policy to transition the data to S3 Glacier Deep Archive after 7 days.","Create an Amazon FSx for Windows File Server file system to extend the company's storage space.","Install a utility on each user's computer to access Amazon S3. Create an S3 Lifecycle policy to transition the data to S3 Glacier Flexible Retrieval after 7 days.","B","An S3 File Gateway provides a seamless extension of existing SMB storage into S3 while maintaining low-latency access for recent files. Using an S3 Lifecycle policy to transition older data to S3 Glacier Deep Archive optimizes costs and automates lifecycle management."
"A company is building an ecommerce web application on AWS. The application sends information about new orders to an Amazon API Gateway REST API to process. The company wants to ensure that orders are processed in the order that they are received. Which solution will meet these requirements?","Use an API Gateway integration to publish a message to an Amazon SNS topic when the application receives an order. Subscribe an AWS Lambda function to the topic to perform processing.","Use an API Gateway integration to send a message to an Amazon SQS FIFO queue when the application receives an order. Configure the SQS FIFO queue to invoke an AWS Lambda function for processing.","Use an API Gateway authorizer to block any requests while the application processes an order.","Use an API Gateway integration to send a message to an Amazon SQS standard queue when the application receives an order. Configure the SQS standard queue to invoke an AWS Lambda function for processing.","B","An Amazon SQS FIFO queue preserves strict ordering of messages, ensuring orders are processed in the sequence received. Integrating API Gateway with an SQS FIFO queue and Lambda provides a serverless, reliable, and ordered processing pipeline without building custom sequencing logic."
